algorithm,operation,arm64_us,riscv64_us,x86_64_us,ratio_arm_riscv,overhead_arm_qemu,overhead_riscv_qemu,advantage_arm_percent
ML-DSA-44,keygen,1131.07,869.65,40.66,1.3006036911401138,27.817757009345794,21.388342351205118,-30.060369114011383
ML-DSA-44,sign,5143.49,4795.27,85.97,1.0726173917214255,59.828893800162845,55.778411073630345,-7.2617391721425335
ML-DSA-44,verify,1033.78,982.73,27.91,1.051947126881239,37.039770691508416,35.210677176639194,-5.194712688123896
ML-DSA-65,keygen,1110.95,1410.53,79.12,0.7876117487752831,14.041329625884732,17.82773003033367,21.23882512247169
ML-DSA-65,sign,6328.16,8046.93,146.29,0.7864067414529515,43.257638936359285,55.00669902248958,21.359325854704842
ML-DSA-65,verify,1324.88,1647.08,62.54,0.8043810865288876,21.184521905980176,26.33642468819955,19.561891347111242
ML-DSA-87,keygen,1706.11,2252.97,104.95,0.7572715127143282,16.2564078132444,21.467079561696043,24.27284872856718
ML-DSA-87,sign,7697.18,9126.69,177.02,0.8433703785271549,43.48197943735171,51.55739464467292,15.662962147284503
ML-DSA-87,verify,1948.94,2518.64,80.79,0.7738064987453547,24.123530139868794,31.175145438791926,22.61935012546453
ML-KEM-1024,decaps,414.09,471.63,43.55,0.8779975828509636,9.508381171067738,10.829621125143515,12.200241714903637
ML-KEM-1024,encaps,385.76,392.15,29.76,0.9837052148412597,12.962365591397848,13.177083333333332,1.6294785158740246
ML-KEM-1024,keygen,297.49,364.2,25.35,0.8168314113124657,11.735305719921104,14.366863905325442,18.316858868753428
ML-KEM-512,decaps,199.88,175.76,12.74,1.1372325898953117,15.68916797488226,13.795918367346937,-13.723258989531182
ML-KEM-512,encaps,143.69,143.34,12.25,1.0024417468954931,11.729795918367346,11.70122448979592,-0.24417468954931934
ML-KEM-512,keygen,141.4,125.73,11.06,1.1246321482541954,12.784810126582279,11.367992766726944,-12.46321482541955
ML-KEM-768,decaps,293.01,281.07,21.38,1.042480520866688,13.70486435921422,13.146398503274089,-4.2480520866688005
ML-KEM-768,encaps,226.37,243.12,20.01,0.9311039815728858,11.312843578210893,12.149925037481259,6.889601842711418
ML-KEM-768,keygen,262.7,206.69,19.18,1.2709855338913347,13.696558915537018,10.776329509906152,-27.098553389133478
